PLACEFP,NAME,native_incidents,asian_incidents,black_incidents,hispanic_incidents,pi_incidents,unknown_incidents,white_incidents,total_incidents,poc_incidents,native_incidents_pct,asian_incidents_pct,black_incidents_pct,hispanic_incidents_pct,pi_incidents_pct,unknown_incidents_pct,white_incidents_pct,poc_incidents_pct,total_pop,white_pop,native_pop,pi_pop,black_pop,asian_pop,hispanic_pop,unknown_pop,poc_pop,white_pop_pct,native_pop_pct,pi_pop_pct,black_pop_pct,asian_pop_pct,hispanic_pop_pct,unknown_pop_pct,poc_pop_pct,native_likelihood_vs_white,asian_likelihood_vs_white,black_likelihood_vs_white,hispanic_likelihood_vs_white,pi_likelihood_vs_white,unknown_likelihood_vs_white,poc_likelihood_vs_white
00296,Adelanto,0,0,2,0,0,0,1,3,2,0.0,0.0,66.66666666666666,0.0,0.0,0.0,33.33333333333333,66.66666666666666,37964.0,3092.0,164.0,36.0,6004.0,577.0,25921.0,2170.0,34872.0,0.0814455800231798,,,0.1581498261510905,0.015198609208724,0.6827784216626277,,0.9185544199768202,,,,,,,
00464,Aguanga,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,961.0,796.0,0.0,0.0,0.0,9.0,142.0,14.0,165.0,,,,,,,,,,,,,,,
00562,Alameda,0,0,2,1,0,0,1,4,3,0.0,0.0,50.0,25.0,0.0,0.0,25.0,75.0,77238.0,31577.0,129.0,377.0,4596.0,22108.0,10760.0,7691.0,45661.0,0.4088272611926772,,,0.0595043890313058,0.2862321655143841,0.1393096662264688,0.0995753385639193,0.5911727388073228,,,,,,,
00674,Albany,0,0,1,0,0,0,0,1,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,19414.0,8342.0,18.0,9.0,652.0,6049.0,2374.0,1970.0,11072.0,0.4296899144946945,,,0.0335840115380653,0.3115792726898115,0.122282888637066,0.1014731636963016,0.5703100855053055,,,,,,,
00884,Alhambra,0,1,0,3,0,1,0,5,5,0.0,20.0,0.0,60.0,0.0,20.0,0.0,100.0,81022.0,7307.0,165.0,163.0,1911.0,41073.0,28273.0,2130.0,73715.0,0.0901853817481671,,,0.0235861864678729,0.5069363876477994,0.3489546049221199,0.026289156031695,0.9098146182518329,0.0,20.0,0.0,20.0,0.0,20.0,20.0
01192,Alpine,0,0,0,1,0,1,0,2,2,0.0,0.0,0.0,50.0,0.0,50.0,0.0,100.0,15180.0,10805.0,5.0,35.0,334.0,160.0,3191.0,650.0,4375.0,0.7117918313570487,,,,,0.2102108036890645,0.0428194993412384,0.2882081686429512,,,,,,,
01290,Altadena,0,0,1,0,0,0,2,3,1,0.0,0.0,33.33333333333333,0.0,0.0,0.0,66.66666666666666,33.33333333333333,41705.0,17225.0,21.0,15.0,7062.0,2627.0,11119.0,3636.0,24480.0,0.4130200215801463,,,0.1693322143627862,0.0629900491547776,0.2666107181393118,0.0871837909123606,0.5869799784198537,,,,,,,
01360,Alta Sierra,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,7361.0,6274.0,137.0,0.0,1.0,119.0,563.0,267.0,1087.0,0.8523298464882488,,,,,,,0.1476701535117511,,,,,,,
01640,American Canyon,0,0,0,1,0,0,0,1,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21691.0,4446.0,54.0,269.0,1045.0,7131.0,6962.0,1784.0,17245.0,0.2049698031441611,,,0.0481766631321746,0.3287538610483611,0.3209626112212438,0.0822460928495689,0.7950301968558389,,,,,,,
02000,Anaheim,0,0,3,14,0,0,6,23,17,0.0,0.0,13.043478260869565,60.86956521739131,0.0,0.0,26.08695652173913,73.91304347826086,344521.0,78440.0,294.0,1043.0,7960.0,61937.0,183273.0,11574.0,266081.0,0.2276784288911271,,0.0030273916539194,0.0231045422485131,0.1797771398550451,0.5319646697879085,0.0335944688422476,0.7723215711088729,0.0,0.0,4.927135678391959,0.9986559213122864,0.0,0.0,0.8352594385418977
02042,Anderson,0,0,0,0,0,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,11255.0,8392.0,314.0,0.0,0.0,332.0,1325.0,892.0,2863.0,0.7456241670368725,,,,,0.1177254553531763,,0.2543758329631275,,,,,,,
02210,Antelope,0,0,0,0,0,0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,48301.0,26429.0,153.0,472.0,5066.0,5974.0,6942.0,3265.0,21872.0,0.5471729363781288,,,0.1048839568538953,0.1236827394877952,0.1437237324279,0.0675969441626467,0.4528270636218712,,,,,,,
02252,Antioch,0,1,4,2,0,0,4,11,7,0.0,9.090909090909092,36.36363636363637,18.181818181818183,0.0,0.0,36.36363636363637,63.63636363636363,116477.0,27308.0,579.0,1293.0,21188.0,16188.0,41441.0,8480.0,89169.0,0.2344497196871485,,,0.1819071576362715,0.1389802278561432,0.3557869794036591,0.0728040729070975,0.7655502803128514,0.0,0.4217321472695824,1.2888427411742496,0.32948046620496607,0.0,0.0,0.5359373773396584
02364,Apple Valley,0,0,1,3,0,0,0,4,4,0.0,0.0,25.0,75.0,0.0,0.0,0.0,100.0,75473.0,32527.0,156.0,95.0,5540.0,2556.0,30340.0,4259.0,42946.0,0.4309753156758046,,,0.0734037337855922,0.0338664158043273,0.4019980655333695,0.0564307765691041,0.5690246843241954,,,,,,,
02462,Arcadia,0,0,1,0,0,0,0,1,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,55170.0,9198.0,290.0,200.0,895.0,32387.0,9653.0,2547.0,45972.0,0.166721044045677,,,,0.5870400580025376,0.1749682798622439,0.0461663947797716,0.833278955954323,,,,,,,
